T,article_title,date,event
83,"'마음고생' 최민정… ""'쇼트트랙은 한국'이라는 말 듣도록 하겠다""",2022-01-05,STK
84,"최민정-황대헌, 2번째 올림픽 앞둔 ‘쇼트트랙 에이스 듀오’의 출사표",2022-01-05,STK
85,"中현지음 ""짜요!"" 틀고 '훈련'…쇼트트랙, 우려 지우고 실전대비 '열공'",2022-01-05,STK
86,"쇼트트랙 황대헌 ""중국 텃세로 불리한 건 사실… 훈련량 늘릴 것""",2022-01-05,STK
87,"쇼트트랙 이영석 코치 ""감독 없지만…한국의 힘, 보여드릴 것""",2022-01-05,STK
88,"[르포]""쉬익, 쉬익, 쉬익, 스스스슥""…韓 쇼트트랙은 달린다",2022-01-05,STK
89,"텃세 심한 中, 올림픽 편파 우려에... 쇼트트랙 팀이 던진 각오는",2022-01-05,STK
90,"활짝 웃은 최민정 ""'역시 한국 쇼트트랙'이란 말 듣도록""",2022-01-05,STK
91,"'쇼트트랙 에이스' 황대헌 ""중국 텃세로 불리할 수 있지만...연습량으로 극복""[오!쎈진천]",2022-01-05,STK
92,마지막 올림픽…곽윤기 “후배들이 계속 꿈꿀 수 있도록”,2022-01-05,STK
93,"다시 뛰는 쇼트트랙 최민정 ""한국 하면 쇼트트랙…걱정마세요""",2022-01-05,STK
94,"남자 쇼트트랙 에이스 황대헌 ""중국 텃세? 잘 준비하면 이겨낼 수 있어""",2022-01-05,STK
95,"평창 그 이후, 다시 뛰는 김보름 “후회없는 레이스가 첫번째 목표”",2022-01-06,SSK
96,"고바야시, 스키점프 월드컵 또 우승…시즌 6승 달성",2022-01-06,SJP
97,"고바야시, 스키점프 월드컵 또 우승…시즌 6승 달성",2022-01-06,SJP
98,"심석희, 끝까지 간다 …국가대표 박탈 ‘징계효력정지 가처분 신청’",2022-01-06,STK
99,"심석희, 결국 법적 대응…‘징계 효력 정지’ 가처분 신청",2022-01-06,STK
100,"심석희, 법적 대응 시작…베이징 갈 수 있을까?",2022-01-06,STK
101,"""베이징 가겠다"" 심석희 '국대 회복' 법적 대응 나서",2022-01-06,STK
102,'자격정지 징계' 심석희‥징계 효력 정지 가처분 신청,2022-01-06,STK
103,분위기 반전 노리는 한국 쇼트트랙 ‘中 텃세’ 이겨낼까 [베이징동계올림픽 D-28],2022-01-06,STK
104,올림픽 출전 막힌 쇼트트랙 심석희 법적 대응 나서,2022-01-06,STK
105,"쇼트트랙 심석희, 법적 대응 나섰다…징계 효력정지 가처분 신청",2022-01-06,STK
106,"'끝없는 논란' 심석희 결국 베이징행 강행. 대표팀 자격정지 가처분 신청, 빙상연맹의 대응은?",2022-01-06,STK
107,"빙상연맹, 심석희 법적 대응에 고심…""징계 결정, 문제없었다""",2022-01-06,STK
108,"법적 대응 나선 심석희, 빙상연맹 징계 무효 가처분 신청",2022-01-06,STK
109,"심석희 올림픽 출전, 법정서 결론난다",2022-01-06,STK
110,"자세 바꾼 쇼트트랙 심석희, 법적 대응…베이징행 포기 않는다(종합)",2022-01-06,STK
111,"'9일 만에 변심?'… 심석희, 징계 무효 가처분 신청",2022-01-06,STK
112,"동료 욕설·비하 논란 심석희, 베이징행 위해 법원 선택",2022-01-06,STK
113,"쇼트트랙 심석희, 빙상연맹 징계 무효 가처분 신청…베이징 갈까",2022-01-06,STK
114,"[영상] 징계 무효 가처분 신청한 심석희 ""올림픽 출전 의지 강하다""",2022-01-06,STK
115,"심석희, 법원에 징계 효력정지 가처분 신청…“올림픽 출전 의지 강해”",2022-01-06,STK
116,"쇼트트랙 심석희, 결국 법적 대응…징계 효력정지 가처분 신청",2022-01-06,STK
117,"심석희 베이징 올림픽 갈까, 결국 법적 대응 '징계 무효 가처분 신청'",2022-01-06,STK
118,‘페이스메이커’ 정재원 베이징에서는 내가 주인공,2022-01-07,SSK
119,'희생양'에서 '에이스'로…정재원의 '폭풍 성장',2022-01-07,SSK
120,페이스메이커 아닌 주인공으로!...매스스타트 메달 노리는 정재원,2022-01-07,SSK
121,"베이징 올림픽 출전하는 정재원, 의정부시청 입단…매스스타트 출전",2022-01-07,SSK
122,페이스메이커 아닌 주인공으로!...매스스타트 메달 노리는 정재원,2022-01-07,SSK
123,"빙속 정재원, 의정부시청 입단…""올림픽 준비에 최선""",2022-01-07,SSK
124,"빙속 정재원, 의정부시청 입단 ""올림픽 준비 철저히 하겠다""",2022-01-07,SSK
125,"빙속 정재원, 의정부시청 입단 ""올림픽 준비 철저히 하겠다""",2022-01-07,SSK
126,"'평창 팀추월 銀' 정재원, 의정부시청 빙상단 입단 ...""좋은 팀 합류 기대돼""",2022-01-07,SSK
127,[그래픽] 베이징 기대주② 빙속 정재원,2022-01-07,SSK
128,[베이징 기대주] 페이스 메이커에서 간판선수로…빙속 정재원,2022-01-07,SSK
129,"[알고보는 베이징] ⑤ 단순하지만, 짜릿한 기록 스포츠…스피드스케이팅",2022-01-07,SSK
130,‘스노보드 황제’ 숀 화이트 “코로나19 확진 후 회복 중”,2022-01-07,SBD
131,"스노보드 숀 화이트, 코로나 감염 뒤 회복 “최종 예선 출전 가능”",2022-01-07,SBD
132,"고바야시, 유럽 포힐스 스키점프 토너먼트 종합 우승",2022-01-07,SJP
133,"고바야시, 유럽 포힐스 스키점프 토너먼트 종합 우승",2022-01-07,SJP
134,"“과도한 징계”…심석희, 법적 대응 나선다",2022-01-07,STK
135,"심석희, 명예회복 나서나… 원팀도 어려운데 법적 대응 강행 왜?",2022-01-07,STK
136,"국대 복귀 '가처분 신청' 심석희, 베이징行 가능할까",2022-01-07,STK
137,"“걱정과 달리 분위기 좋다” 쇼트트랙 대표팀, 베이징 올림픽 앞두고 훈련 현장 공개[O! SPORTS]",2022-01-07,STK
138,“과도한 징계” vs “적정했다” 심석희-빙상연맹 법정다툼 향방은,2022-01-07,STK
139,中쇼트트랙 15일 국가대표 선발…임효준 주목,2022-01-07,STK
140,"심석희, 법적 대응 시작…베이징 갈 수 있을까?",2022-01-07,STK
141,'다음 올림픽은 우리가' 은반을 빛낸 피겨 주니어 꿈나무들,2022-01-07,FSK
142,'유영·차준환' 윤곽 잡힌 피겨 대표…주말 최종 확정,2022-01-07,FSK
143,차준환-유영 등 베이징행 마지막 관문…KB금융 코리아 피겨스케이팅 챔피언십 개최,2022-01-07,FSK
144,"‘피겨 전설’ 미셸 콴, 딸 출산 “너무 기뻐 눈물 나”",2022-01-07,FSK
145,베이징올림픽 피겨 국가대표 선발전 7~9일 개최,2022-01-07,FSK
146,[그래픽] 베이징 동계올림픽 종목 소개 - 쇼트트랙,2022-01-08,STK
147,[그래픽] 베이징 기대주③ 쇼트트랙 '에이스' 최민정,2022-01-08,STK
148,[베이징 기대주] 다시 일어난 쇼트트랙 최민정…흔들리지 않는 '에이스',2022-01-08,STK
149,[알고보는 베이징] ⑥ 스피드·전술·신경전까지…'치열한 승부' 쇼트트랙,2022-01-08,STK
150,"심석희 법적 대응과 올림픽, 그리고 케미 [김윤일의 역주행]",2022-01-08,STK
151,‘이제 시작이다’ 평창 때 다짐… 베이징서 보여줄 것,2022-01-08,STK
152,"피겨 차준환·유영, 2차대회 쇼트 1위 ‘베이징 보인다’",2022-01-08,FSK
153,"피겨 차준환·유영, 올림픽 대표 2차 선발전 1위",2022-01-08,FSK
154,"‘피겨 왕자’ 차준환, 사실상 베이징행 확정…‘개인 최고점’",2022-01-08,FSK
155,"'개인 공인 최고점' 피겨 차준환, 사실상 올림픽 출전권 확보",2022-01-08,FSK
156,"유영, 2차 대표 선발전 쇼트 1위…베이징행 전망 밝혔다",2022-01-08,FSK
157,차준환의 완벽 고난도 점프…베이징행 사실상 확정,2022-01-08,FSK
158,'나란히 1위' 차준환·유영 '베이징 티켓 눈앞',2022-01-08,FSK
159,"차준환·유영, 베이징행 보인다…올림픽 2차 선발전 쇼트 1위(종합)",2022-01-08,FSK
160,"피겨 차준환·유영, 사실상 올림픽 쿼터 확보…2차대회 쇼트 1위",2022-01-08,FSK
161,"차준환‧유영, 올림픽 대표 2차 선발전 쇼트 1위…베이징행 유력(종합)",2022-01-08,FSK
162,"女 피겨 유영, 男 차준환과 함께 베이징행 눈앞",2022-01-08,FSK
163,"[피겨 올림픽 선발전] '트리플 악셀 성공' 유영, ""연습 때는 성공률 좋았는데…정말 기뻐요""",2022-01-08,FSK
164,"피겨 차준환·유영, 사실상 올림픽 쿼터 확보…2차대회 쇼트 1위",2022-01-08,FSK
165,"피겨 차준환·유영, 사실상 올림픽 쿼터 확보…2차대회 쇼트 1위(종합)",2022-01-08,FSK
166,[피겨 올림픽 선발전] 차준환-유영 베이징 올림픽 출전 예약…최종 선발전 남녀 쇼트 1위(종합),2022-01-08,FSK
167,"베이징으로…피겨 차준환, 국가대표 2차 선발전 쇼트 1위",2022-01-08,FSK
168,"차준환, 베이징 올림픽 2차 선발전 쇼트 1위… ""사실상 출전 확정""",2022-01-08,FSK
169,‘피겨간판’ 차준환 국대 2차 선발전도 1위…2회 연속 올림픽 진출 유력,2022-01-08,FSK
170,"男 피겨 간판 차준환, 2회 연속 올림픽 출전 사실상 확정",2022-01-08,FSK
171,"'베이징행 보인다' 차준환, 올림픽 2차 선발전 쇼트 1위",2022-01-08,FSK
172,"정대윤, 프리스타일 스키 월드컵 남자 모굴 33위",2022-01-08,FRS
173,"스켈레톤 윤성빈, 월드컵 6위 올 시즌 개인 최고 성적",2022-01-08,SKN
174,"윤성빈, 7차 월드컵서 시즌 최고 6위",2022-01-08,SKN
175,"‘아이언맨’ 윤성빈, 월드컵 7차 대회서 6위…시즌 최고 타이",2022-01-08,SKN
176,"윤성빈, 월드컵 7차 대회서 6위 [스켈레톤]",2022-01-08,SKN
177,"'아이언맨' 윤성빈, 월드컵 7차 대회 6위…시즌 최고 성적",2022-01-08,SKN
178,"윤성빈, 월드컵 7차서 시즌 최고 6위…정승기 11위",2022-01-08,SKN
179,"윤성빈, 월드컵 7차서 시즌 최고 6위…정승기 11위",2022-01-08,SKN
180,"'아이언맨' 윤성빈, 월드컵 7차 대회서 시즌 최고 성적 6위",2022-01-08,SKN
181,"윤성빈, 월드컵 7차서 시즌 최고 6위…정승기 11위",2022-01-08,SKN
182,"윤성빈, IBSF 스켈레톤 월드컵 7차 대회서 6위",2022-01-08,SKN
183,"윤성빈, IBSF 스켈레톤 월드컵 7차대회 6위",2022-01-08,SKN
184,Kim Min-seok looks to build on PyeongChang success in Beijing,2022-01-09,SSK
185,[그래픽] 2022 베이징 동계올림픽 종목 소개 - 알파인스키,2022-01-09,ALP
186,"스노보드 이상호, 월드컵 평행대회전 동메달",2022-01-09,SBD
187,"‘이번엔 동메달’ 이상호, FIS 월드컵서 또 입상, 올림픽 메달 희망 모락모락",2022-01-09,SBD
188,"스노보드 간판 이상호, 베이징 금메달 보인다",2022-01-09,SBD
189,‘배추 보이’ 이상호 스노보드 월드컵 銅… 이젠 올림픽서!,2022-01-09,SBD
190,"이상호, 스노보드 월드컵 동메달…베이징 전망 '파란불'",2022-01-09,SBD
191,"'배추 보이' 이상호, 스노보드 월드컵 銅 획득…시즌 종합 1위 질주",2022-01-09,SBD
192,"스노보드 이상호, 월드컵 평행대회전 동메달",2022-01-09,SBD
193,"동메달 추가한 배추보이, 베이징 전망 더 밝혔다",2022-01-09,SBD
194,[알고보는 베이징] ⑦ 설원을 비행하는 '인간 새'들의 경쟁 스키점프,2022-01-09,SJP
195,"원윤종ㆍ김진우, 봅슬레이 7차 월드컵 7위",2022-01-09,BOB
196,"유영, ‘트리플 악셀’ 앞세워 베이징행!",2022-01-09,FSK
197,"'피겨' 차준환-유영, 베이징 간다…이시형-김예림도 출전권 획득",2022-01-09,FSK
198,'피겨 간판' 차준환·유영의 베이징 출사표,2022-01-09,FSK
199,"'완벽 4회전 점프' 차준환, 2연속 올림픽 출전",2022-01-09,FSK
200,[뉴스1 PICK]차준환·유영 피겨 1위 '베이징으로 가자',2022-01-09,FSK
201,"""하루 8시간 빙판서 구슬땀…모든것 보여줄게요""",2022-01-09,FSK
202,유영 첫 올림픽 출전 “꿈의 무대 즐기겠다”,2022-01-09,FSK
203,유영·김예림·차준환·이시형 ‘베이징 은반’ 선다,2022-01-09,FSK
204,"피겨 올림픽 대표 확정‥""후회 없는 연기할래요""",2022-01-09,FSK
205,피겨 차준환-유영 2차 선발전 우승 '베이징 티켓 확보' [뉴시스Pic],2022-01-09,FSK
206,"화려하게 깔끔하게…유영·차준환, 베이징 향해 점프",2022-01-09,FSK
207,"2회 연속 올림픽 출전 차준환 ""후회 없이 할래요""",2022-01-09,FSK
208,"'女 피겨 신동에서 간판으로' 유영 ""올림픽, 꼭 실수 않을 것""[베이징올림픽]",2022-01-09,FSK
209,"차준환·유영, 베이징서 마음껏 날아라",2022-01-09,FSK
210,"올림픽 출전 꿈 이룬 유영 ""실감 나지 않아요""",2022-01-09,FSK
211,‘4.5회전 점프’ 올림픽 3연패 도전하는 챔피언,2022-01-09,FSK
212,"'생에 첫 올림픽' 피겨 유영 ""클린한 연기로 좋은 인상 남기겠다""",2022-01-09,FSK
213,"피겨 차준환-유영, 2차 선발전 우승…베이징 티켓 확보(종합2보)",2022-01-09,FSK
214,"[피겨 올림픽 선발전] '첫 올림픽 출전' 유영, ""완벽한 경기로 좋은 인상 남기고 싶어요.""",2022-01-09,FSK
215,"베이징올림픽 꿈 이룬 '피겨 요정' 유영 ""꿈꿔온 무대""",2022-01-09,FSK
216,"피겨 차준환·유영, 베이징 올림픽 출전 확정 ""더 높은 곳으로""",2022-01-09,FSK
217,"'생애 첫 올림픽 출전' 유영 ""꿈꿔왔던 자리…트리플 악셀 만족"" [스경X현장]",2022-01-09,FSK
218,싱가포르에서 한국 온지 10년만에… 올림픽 꿈 이룬 유영,2022-01-09,FSK
219,"피겨 차준환·유영, 남녀 2차 선발전 우승‥베이징 올림픽 출전",2022-01-09,FSK
220,"차준환 2회 연속 올림픽행, 이시형-유영-김예림도 첫 올림픽 기쁨",2022-01-09,FSK
221,"유영·김예림, 베이징행 확정",2022-01-09,FSK
222,"피겨 차준환·유영, 필살기로 2차 선발전 우승…베이징행 확정(종합2보)",2022-01-09,FSK
223,"'피겨 간판' 차준환·유영, 베이징올림픽 출전권 획득",2022-01-09,FSK
224,"'피겨 간판' 차준환·유영, 베이징행 확정…이시형, 김예림도 티켓 획득",2022-01-09,FSK
225,"피겨 유영·김예림, 생애 첫 올림픽 출전 확정",2022-01-09,FSK
226,"'포스트 김연아' 꿈꾸는 피겨 유영, 베이징행 확정[베이징올림픽]",2022-01-09,FSK
227,"'피겨 요정' 유영, 생애 첫 올림픽 출전 확정…2차 선발전 우승",2022-01-09,FSK
228,"피겨 차준환·유영, 2차 선발전 우승…동반 베이징행 확정(종합)",2022-01-09,FSK
229,‘역시 차준환’ 2회 연속 올림픽 무대 밟는다,2022-01-09,FSK
230,"'한국 피겨 간판' 차준환-유영, 이변없이 베이징올림픽 출전권 획득",2022-01-09,FSK
231,차준환 이어 ‘여자 피겨 간판’ 유영도 베이징행 확정,2022-01-09,FSK
232,"피겨 차준환-유영, 2차 선발전 우승…베이징 티켓 확보(종합)",2022-01-09,FSK
233,"'피겨 요정' 유영, 생애 첫 올림픽 출전 확정…2차 선발전 우승",2022-01-09,FSK
234,[피겨 올림픽 선발전] 남녀싱글 간판 차준환-유영 선발전 우승하며 베이징행(종합),2022-01-09,FSK
235,"피겨 차준환, 2회 연속 올림픽 무대 선다",2022-01-09,FSK
236,"‘베이징행 티켓 획득’ 차준환 “1차 때는 50점, 2차 때는 80점”",2022-01-09,FSK
237,"피겨 간판 차준환, 2차 선발전 우승…2회 연속 올림픽 출전",2022-01-09,FSK
238,"'2차 선발전 우승' 차준환, 2회 연속 올림픽 출전",2022-01-09,FSK
239,"'함박웃음' 차준환 ""평창 때보다 더 단단해졌다""[베이징올림픽]",2022-01-09,FSK
240,"'2회 연속 올림픽 출전' 차준환 ""후회 없는 경기를 펼치겠다""",2022-01-09,FSK
241,"'남자 피겨 간판' 차준환, 2회 연속 올림픽 무대 선다...선발전 1위 등극",2022-01-09,FSK
242,"'피겨 간판' 차준환, 베이징행 확정…2회 연속 올림픽 진출[베이징올림픽]",2022-01-09,FSK
243,"'베이징행' 피겨 차준환 ""순위보다는 후회 없는 연기할래요""",2022-01-09,FSK
244,"피겨 간판 차준환, 2차 선발전 우승…베이징올림픽 출전권 획득",2022-01-09,FSK
245,"두 번째 올림픽 출전하는 차준환 ""후회 없이 할래요""",2022-01-09,FSK
246,"[피겨 올림픽 선발전] '2연속 올림픽행' 차준환 ""계획한 구성 잘하면 높은 목표도 기대""",2022-01-09,FSK
247,올림픽 2회 연속 출격하는 차준환 “후회없는 연기 목표” [스경X현장],2022-01-09,FSK
248,"피겨 간판 차준환, 2차 선발전 우승…2회 연속 올림픽 출전(종합)",2022-01-09,FSK
249,"‘韓 남자 피겨 간판’ 차준환, 베이징 간다",2022-01-09,FSK
250,"'베이징 간다!' 男 피겨 차준환, 국가대표 2차 선발전 우승",2022-01-09,FSK
251,"'2차 선발전 우승' 차준환, 평창 이어 베이징 올림픽 출전",2022-01-09,FSK
252,"남자 피겨 차준환, 2차 선발전 우승…베이징올림픽행",2022-01-09,FSK
253,"한국 피겨 간판 차준환, 베이징행 확정…2회 연속 올림픽 출전",2022-01-09,FSK
254,"피겨 간판 차준환, 2회 연속 올림픽 진출…2차 선발전 우승",2022-01-09,FSK
255,"아역배우서 피겨 간판으로…차준환, 첫 올림픽 톱10 기록 쓸까",2022-01-09,FSK
256,"피겨 간판 차준환, 2차 선발전 우승…베이징올림픽 출전권 획득",2022-01-09,FSK
257,"[피겨 올림픽 선발전] '4회전 점프 축포' 차준환, 베이징행…2연속 올림픽 출전",2022-01-09,FSK
258,평창 이어 베이징까지… 차준환 2차 선발전도 우승,2022-01-09,FSK
259,"'점프머신' 네이선 첸, 미국피겨선수권 쇼트 1위…'하뉴 만나나'",2022-01-09,FSK
260,"[피겨 올림픽 선발전] '은반 위의 기적' 쓴 이시형, 올림픽 눈앞에 둔 드라마 같은 스토리",2022-01-09,FSK
261,"[피겨 올림픽 선발전] 차준환-유영, 팬데믹 극복하고 올림픽으로 가는 방법",2022-01-09,FSK
262,"피겨 차준환·유영, 쇼트 1위…베이징행 사실상 확정",2022-01-09,FSK
263,"역시 트리플 악셀! 피겨 유영, 올림픽 눈앞…차준환도 확정적 ",2022-01-09,FSK
264,Sliding star Jung Seung-gi is ready for high-speed Olympic debut,2022-01-09,SKN
265,"“나라에서 보내준 평창, 우리 힘으로 가는 베이징” 컬링 국대 팀 킴의 동기부여",2022-01-10,CUR
266,"평창 흔들었던 ‘영미’ 신드롬, 베이징에서도 다시 한번 [니하오 베이징 ④]",2022-01-10,CUR
267,"[알면 재밌는 동계종목①] 많이 가까워진 컬링, 좀 더 알려 드립니다",2022-01-10,CUR
268,시프린 vs 블로바… 뜨거운 ‘스키 여제’ 경쟁,2022-01-10,ALP
269,"블로바, 월드컵 회전 종목서 시즌 5승째 수확…종합 1위 시프린 맹추격",2022-01-10,ALP
270,"블로바, 월드컵 스키 회전서만 시즌 5승…종합 1위 시프린 추격",2022-01-10,ALP
271,"'동메달' 스노보드 이상호, 시즌 네 번째 월드컵 메달",2022-01-10,SBD
