T,article_title,date,event,Unnamed: 0
24.0,"‘준비된 메달리스트’ 정승기, 이제는 베이징올림픽 정조준",2022-01-03,SKN,
25.0,"[스켈레톤] 윤성빈 앞지른 정승기, 시굴다 트랙에서 피어오른 희망",2022-01-03,SKN,
26.0,"정승기, 월드컵 첫 메달",2022-01-03,SKN,
27.0,"스켈레톤 정승기, 월드컵 동메달… 윤성빈 랭킹 앞질러",2022-01-03,SKN,
28.0,베이징 올림픽에서의 스피드스케이팅은?,2022-01-04,SSK,
29.0,"빙속 세대 교체, 맡겨주세요 김민석, 정재원, 차민규 [니하오 베이징 ②]",2022-01-04,SSK,
30.0,"이상화, 베이징 동계올림픽으로 첫 해설…""실수 없게 준비""",2022-01-04,SSK,
31.0,이상화 “빙속 여제 수식어 잃고 싶지 않아” (2022 베이징올림픽),2022-01-04,SSK,
32.0,女컬링 ‘팀 킴’도 오미크론에 막혔다…그랜드슬램 오픈 취소,2022-01-04,CUR,
33.0,"'팀 킴' 출전 예정 '컬링 그랜드슬램 오픈', 오미크론 여파로 취소",2022-01-04,CUR,
34.0,"'팀 킴 출전' 컬링 그랜드슬램 오픈, 오미크론 여파로 취소",2022-01-04,CUR,
35.0,"'팀 킴 출전' 컬링 그랜드슬램 오픈, 오미크론 여파로 취소",2022-01-04,CUR,
36.0,'평창 스타' 스노보더 클로이김 '후워즈' 시리즈에 소개,2022-01-04,SBD,
37.0,"10위권 밖 머물던 봅슬레이 2인승, 올림픽 다가오자 6위로",2022-01-04,BOB,
38.0,"'깜짝 세계 1위' 이유빈 ""오뚝이처럼 일어날게요""",2022-01-04,STK,
39.0,러시아 피겨 샛별 발리예바 ‘피겨 여왕’ 등극하나,2022-01-04,FSK,
40.0,"은·동메달은 있어요, 남은 목표 명확하죠",2022-01-05,SSK,
41.0,"2회 연속 메달 도전 김보름 ""후회없는 레이스 펼치겠다""",2022-01-05,SSK,
42.0,빙속 김보름 “메달 색깔보단 ‘후회 없는 레이스’가 목표”,2022-01-05,SSK,
43.0,"'스피드스케이팅 간판' 김민석 ""월드컵 소화로 기량↑...후회없는 레이스 목표""[오!쎈진천]",2022-01-05,SSK,
44.0,"'빙속 라이징 스타' 김민석 ""부담 없이 올림픽 준비 중""",2022-01-05,SSK,
45.0,"스피드스케이팅 선봉 김민석 ""첫 메달로 선수단에 힘 주고 싶어""",2022-01-05,SSK,
46.0,"빙속 선봉 김민석 ""좋은 결과 얻어 동료들에게 힘 불어 넣겠다""",2022-01-05,SSK,
47.0,"베이징행 앞둔 '빙속' 김보름 ""후회 없는 레이스 할 것""[베이징올림픽]",2022-01-05,SSK,
48.0,"'금메달 1~2개' 낮은 韓 목표치...김보름, 사기저하 없다 ""목표는 선수가 세우는 것""[오!쎈진천]",2022-01-05,SSK,
49.0,[베이징올림픽 G-30]매스스타트 김보름이 다시 뛴다 “후회 없는 레이스”,2022-01-05,SSK,
50.0,"‘빙속 여제’ 이상화, 베이징올림픽서 해설위원 데뷔",2022-01-05,SSK,
51.0,"‘평창의 눈물’ 그후 4년, 이젠 스케이트 예뻐보여… 베이징에선 웃어야죠",2022-01-05,SSK,
52.0,"다시 ""영미""…'팀 킴', 시련 딛고 올림픽 본선 티켓 획득",2022-01-05,CUR,
53.0,"팀 킴 ""목표보다 과정""… 베이징동계올림픽 각오 밝혀",2022-01-05,CUR,
54.0,"베이징에서도 '영미~' 여자컬링 팀 킴 ""결과보다 과정""",2022-01-05,CUR,
55.0,"평창서 감동 안긴 '팀 킴'…""4년 간 더 단단해져, 결과보다 과정에 집중""",2022-01-05,CUR,
56.0,"2연속 메달 꿈꾸는 팀 킴 ""과정 집중하면 메달도 가능""",2022-01-05,CUR,
57.0,"올림픽 막차 탄 팀 킴 “더 단단해졌다, 베이징서 좋은 결과 낼 것”",2022-01-05,CUR,
58.0,"재정비 완료된 컬링 '팀 킴' ""많은 일 있었다..현재에 집중""[베이징올림픽]",2022-01-05,CUR,
59.0,"4년전 평창 '팀킴 돌풍' 여자 컬링, 김선영 ""4년동안 우여곡절 많았다. 베이징에서는 컬링이 국민에게 기쁨주겠다""",2022-01-05,CUR,
60.0,[단독]올림픽 2연속 메달 향한 팀 킴 “빙질 변화 빠른 적응이 관건”,2022-01-05,CUR,
61.0,"'스키 여제' 시프린, 코로나19 털어내고 복귀전에서 준우승",2022-01-05,ALP,
62.0,"美 스키여제 시프린, 자가격리후 첫 출전 준우승",2022-01-05,ALP,
63.0,"‘스키여제’ 시프린, 코로나19 회복후 월드컵 준우승",2022-01-05,ALP,
64.0,"‘스키여제’ 시프린, 코로나19 회복 후 월드컵 준우승",2022-01-05,ALP,
65.0,"'스키 여제' 시프린, 코로나19 회복 후 복귀전 준우승",2022-01-05,ALP,
66.0,"코로나19 극복한 시프린, 복귀 대회서 준우승",2022-01-05,ALP,
67.0,"코로나 뛰어 넘은 ‘스키 여제’ 시프린, 월드컵 준우승",2022-01-05,ALP,
68.0,"'스키 여제' 시프린, 코로나19 완쾌 후 복귀전에서 준우승",2022-01-05,ALP,
69.0,"코로나19서 돌아온 시프린, 월드컵 여자 회전 준우승",2022-01-05,ALP,
70.0,"""내가 돌아왔다"" 코로나19 털고 온 시프린, 월드컵 여자 회전 준우승",2022-01-05,ALP,
71.0,"코로나19서 돌아온 시프린, 월드컵 여자 회전 준우승",2022-01-05,ALP,
72.0,돌아온 '배추보이' 이상호…베이징 꿈 영근다,2022-01-05,SBD,
73.0,마지막 눈밭 질주 앞둔 ‘플라잉 토마토’…베이징서도 ‘지존’ 등극할까,2022-01-05,SBD,
74.0,"역경 딛고 돌아온 클로이 김, 베이징 빛낼 최고별",2022-01-05,SBD,
75.0,'중국 관중 함성' 틀고 맹훈…악재 딛고 구슬땀,2022-01-05,STK,
76.0,"그래도 희망은 쇼트트랙 ""중국 텃세? 분위기? 걱정 마세요""",2022-01-05,STK,
77.0,"'핀 박고 출전' 김지유 ""기적을 한번 써볼게요""",2022-01-05,STK,
78.0,"겨울올림픽 30일 앞으로‥""쇼트트랙은 역시 한국""",2022-01-05,STK,
79.0,"2022 베이징동계올림픽 G-30 ""그래도 쇼트트랙""",2022-01-05,STK,
80.0,미소 찾은 최민정 “역시 쇼트트랙은 한국이란 말 듣도록 할 것”,2022-01-05,STK,
81.0,"베이징 동계올림픽 G-30...최민정 ""기대 이상이면 기쁨은 배""",2022-01-05,STK,
82.0,"쇼트트랙 이영석 코치 ""대표팀 목표, 금 1~2개보다 높다""",2022-01-05,STK,
83.0,"'마음고생' 최민정… ""'쇼트트랙은 한국'이라는 말 듣도록 하겠다""",2022-01-05,STK,
84.0,"최민정-황대헌, 2번째 올림픽 앞둔 ‘쇼트트랙 에이스 듀오’의 출사표",2022-01-05,STK,
85.0,"中현지음 ""짜요!"" 틀고 '훈련'…쇼트트랙, 우려 지우고 실전대비 '열공'",2022-01-05,STK,
86.0,"쇼트트랙 황대헌 ""중국 텃세로 불리한 건 사실… 훈련량 늘릴 것""",2022-01-05,STK,
87.0,"쇼트트랙 이영석 코치 ""감독 없지만…한국의 힘, 보여드릴 것""",2022-01-05,STK,
88.0,"[르포]""쉬익, 쉬익, 쉬익, 스스스슥""…韓 쇼트트랙은 달린다",2022-01-05,STK,
89.0,"텃세 심한 中, 올림픽 편파 우려에... 쇼트트랙 팀이 던진 각오는",2022-01-05,STK,
90.0,"활짝 웃은 최민정 ""'역시 한국 쇼트트랙'이란 말 듣도록""",2022-01-05,STK,
91.0,"'쇼트트랙 에이스' 황대헌 ""중국 텃세로 불리할 수 있지만...연습량으로 극복""[오!쎈진천]",2022-01-05,STK,
92.0,마지막 올림픽…곽윤기 “후배들이 계속 꿈꿀 수 있도록”,2022-01-05,STK,
93.0,"다시 뛰는 쇼트트랙 최민정 ""한국 하면 쇼트트랙…걱정마세요""",2022-01-05,STK,
94.0,"남자 쇼트트랙 에이스 황대헌 ""중국 텃세? 잘 준비하면 이겨낼 수 있어""",2022-01-05,STK,
95.0,"평창 그 이후, 다시 뛰는 김보름 “후회없는 레이스가 첫번째 목표”",2022-01-06,SSK,
96.0,"고바야시, 스키점프 월드컵 또 우승…시즌 6승 달성",2022-01-06,SJP,
97.0,"고바야시, 스키점프 월드컵 또 우승…시즌 6승 달성",2022-01-06,SJP,
98.0,"심석희, 끝까지 간다 …국가대표 박탈 ‘징계효력정지 가처분 신청’",2022-01-06,STK,
99.0,"심석희, 결국 법적 대응…‘징계 효력 정지’ 가처분 신청",2022-01-06,STK,
100.0,"심석희, 법적 대응 시작…베이징 갈 수 있을까?",2022-01-06,STK,
101.0,"""베이징 가겠다"" 심석희 '국대 회복' 법적 대응 나서",2022-01-06,STK,
102.0,'자격정지 징계' 심석희‥징계 효력 정지 가처분 신청,2022-01-06,STK,
103.0,분위기 반전 노리는 한국 쇼트트랙 ‘中 텃세’ 이겨낼까 [베이징동계올림픽 D-28],2022-01-06,STK,
104.0,올림픽 출전 막힌 쇼트트랙 심석희 법적 대응 나서,2022-01-06,STK,
105.0,"쇼트트랙 심석희, 법적 대응 나섰다…징계 효력정지 가처분 신청",2022-01-06,STK,
106.0,"'끝없는 논란' 심석희 결국 베이징행 강행. 대표팀 자격정지 가처분 신청, 빙상연맹의 대응은?",2022-01-06,STK,
107.0,"빙상연맹, 심석희 법적 대응에 고심…""징계 결정, 문제없었다""",2022-01-06,STK,
108.0,"법적 대응 나선 심석희, 빙상연맹 징계 무효 가처분 신청",2022-01-06,STK,
109.0,"심석희 올림픽 출전, 법정서 결론난다",2022-01-06,STK,
110.0,"자세 바꾼 쇼트트랙 심석희, 법적 대응…베이징행 포기 않는다(종합)",2022-01-06,STK,
111.0,"'9일 만에 변심?'… 심석희, 징계 무효 가처분 신청",2022-01-06,STK,
112.0,"동료 욕설·비하 논란 심석희, 베이징행 위해 법원 선택",2022-01-06,STK,
113.0,"쇼트트랙 심석희, 빙상연맹 징계 무효 가처분 신청…베이징 갈까",2022-01-06,STK,
114.0,"[영상] 징계 무효 가처분 신청한 심석희 ""올림픽 출전 의지 강하다""",2022-01-06,STK,
115.0,"심석희, 법원에 징계 효력정지 가처분 신청…“올림픽 출전 의지 강해”",2022-01-06,STK,
116.0,"쇼트트랙 심석희, 결국 법적 대응…징계 효력정지 가처분 신청",2022-01-06,STK,
117.0,"심석희 베이징 올림픽 갈까, 결국 법적 대응 '징계 무효 가처분 신청'",2022-01-06,STK,
118.0,‘페이스메이커’ 정재원 베이징에서는 내가 주인공,2022-01-07,SSK,
119.0,'희생양'에서 '에이스'로…정재원의 '폭풍 성장',2022-01-07,SSK,
120.0,페이스메이커 아닌 주인공으로!...매스스타트 메달 노리는 정재원,2022-01-07,SSK,
121.0,"베이징 올림픽 출전하는 정재원, 의정부시청 입단…매스스타트 출전",2022-01-07,SSK,
122.0,페이스메이커 아닌 주인공으로!...매스스타트 메달 노리는 정재원,2022-01-07,SSK,
123.0,"빙속 정재원, 의정부시청 입단…""올림픽 준비에 최선""",2022-01-07,SSK,
124.0,"빙속 정재원, 의정부시청 입단 ""올림픽 준비 철저히 하겠다""",2022-01-07,SSK,
125.0,"빙속 정재원, 의정부시청 입단 ""올림픽 준비 철저히 하겠다""",2022-01-07,SSK,
126.0,"'평창 팀추월 銀' 정재원, 의정부시청 빙상단 입단 ...""좋은 팀 합류 기대돼""",2022-01-07,SSK,
127.0,[그래픽] 베이징 기대주② 빙속 정재원,2022-01-07,SSK,
128.0,[베이징 기대주] 페이스 메이커에서 간판선수로…빙속 정재원,2022-01-07,SSK,
129.0,"[알고보는 베이징] ⑤ 단순하지만, 짜릿한 기록 스포츠…스피드스케이팅",2022-01-07,SSK,
130.0,‘스노보드 황제’ 숀 화이트 “코로나19 확진 후 회복 중”,2022-01-07,SBD,
131.0,"스노보드 숀 화이트, 코로나 감염 뒤 회복 “최종 예선 출전 가능”",2022-01-07,SBD,
132.0,"고바야시, 유럽 포힐스 스키점프 토너먼트 종합 우승",2022-01-07,SJP,
133.0,"고바야시, 유럽 포힐스 스키점프 토너먼트 종합 우승",2022-01-07,SJP,
134.0,"“과도한 징계”…심석희, 법적 대응 나선다",2022-01-07,STK,
135.0,"심석희, 명예회복 나서나… 원팀도 어려운데 법적 대응 강행 왜?",2022-01-07,STK,
136.0,"국대 복귀 '가처분 신청' 심석희, 베이징行 가능할까",2022-01-07,STK,
137.0,"“걱정과 달리 분위기 좋다” 쇼트트랙 대표팀, 베이징 올림픽 앞두고 훈련 현장 공개[O! SPORTS]",2022-01-07,STK,
138.0,“과도한 징계” vs “적정했다” 심석희-빙상연맹 법정다툼 향방은,2022-01-07,STK,
139.0,中쇼트트랙 15일 국가대표 선발…임효준 주목,2022-01-07,STK,
140.0,"심석희, 법적 대응 시작…베이징 갈 수 있을까?",2022-01-07,STK,
141.0,'다음 올림픽은 우리가' 은반을 빛낸 피겨 주니어 꿈나무들,2022-01-07,FSK,
142.0,'유영·차준환' 윤곽 잡힌 피겨 대표…주말 최종 확정,2022-01-07,FSK,
143.0,차준환-유영 등 베이징행 마지막 관문…KB금융 코리아 피겨스케이팅 챔피언십 개최,2022-01-07,FSK,
144.0,"‘피겨 전설’ 미셸 콴, 딸 출산 “너무 기뻐 눈물 나”",2022-01-07,FSK,
145.0,베이징올림픽 피겨 국가대표 선발전 7~9일 개최,2022-01-07,FSK,
146.0,[그래픽] 베이징 동계올림픽 종목 소개 - 쇼트트랙,2022-01-08,STK,
147.0,[그래픽] 베이징 기대주③ 쇼트트랙 '에이스' 최민정,2022-01-08,STK,
148.0,[베이징 기대주] 다시 일어난 쇼트트랙 최민정…흔들리지 않는 '에이스',2022-01-08,STK,
149.0,[알고보는 베이징] ⑥ 스피드·전술·신경전까지…'치열한 승부' 쇼트트랙,2022-01-08,STK,
150.0,"심석희 법적 대응과 올림픽, 그리고 케미 [김윤일의 역주행]",2022-01-08,STK,
151.0,‘이제 시작이다’ 평창 때 다짐… 베이징서 보여줄 것,2022-01-08,STK,
152.0,"피겨 차준환·유영, 2차대회 쇼트 1위 ‘베이징 보인다’",2022-01-08,FSK,
153.0,"피겨 차준환·유영, 올림픽 대표 2차 선발전 1위",2022-01-08,FSK,
154.0,"‘피겨 왕자’ 차준환, 사실상 베이징행 확정…‘개인 최고점’",2022-01-08,FSK,
155.0,"'개인 공인 최고점' 피겨 차준환, 사실상 올림픽 출전권 확보",2022-01-08,FSK,
156.0,"유영, 2차 대표 선발전 쇼트 1위…베이징행 전망 밝혔다",2022-01-08,FSK,
157.0,차준환의 완벽 고난도 점프…베이징행 사실상 확정,2022-01-08,FSK,
158.0,'나란히 1위' 차준환·유영 '베이징 티켓 눈앞',2022-01-08,FSK,
159.0,"차준환·유영, 베이징행 보인다…올림픽 2차 선발전 쇼트 1위(종합)",2022-01-08,FSK,
160.0,"피겨 차준환·유영, 사실상 올림픽 쿼터 확보…2차대회 쇼트 1위",2022-01-08,FSK,
161.0,"차준환‧유영, 올림픽 대표 2차 선발전 쇼트 1위…베이징행 유력(종합)",2022-01-08,FSK,
162.0,"女 피겨 유영, 男 차준환과 함께 베이징행 눈앞",2022-01-08,FSK,
163.0,"[피겨 올림픽 선발전] '트리플 악셀 성공' 유영, ""연습 때는 성공률 좋았는데…정말 기뻐요""",2022-01-08,FSK,
164.0,"피겨 차준환·유영, 사실상 올림픽 쿼터 확보…2차대회 쇼트 1위",2022-01-08,FSK,
165.0,"피겨 차준환·유영, 사실상 올림픽 쿼터 확보…2차대회 쇼트 1위(종합)",2022-01-08,FSK,
166.0,[피겨 올림픽 선발전] 차준환-유영 베이징 올림픽 출전 예약…최종 선발전 남녀 쇼트 1위(종합),2022-01-08,FSK,
167.0,"베이징으로…피겨 차준환, 국가대표 2차 선발전 쇼트 1위",2022-01-08,FSK,
168.0,"차준환, 베이징 올림픽 2차 선발전 쇼트 1위… ""사실상 출전 확정""",2022-01-08,FSK,
169.0,‘피겨간판’ 차준환 국대 2차 선발전도 1위…2회 연속 올림픽 진출 유력,2022-01-08,FSK,
170.0,"男 피겨 간판 차준환, 2회 연속 올림픽 출전 사실상 확정",2022-01-08,FSK,
171.0,"'베이징행 보인다' 차준환, 올림픽 2차 선발전 쇼트 1위",2022-01-08,FSK,
172.0,"정대윤, 프리스타일 스키 월드컵 남자 모굴 33위",2022-01-08,FRS,
173.0,"스켈레톤 윤성빈, 월드컵 6위 올 시즌 개인 최고 성적",2022-01-08,SKN,
174.0,"윤성빈, 7차 월드컵서 시즌 최고 6위",2022-01-08,SKN,
175.0,"‘아이언맨’ 윤성빈, 월드컵 7차 대회서 6위…시즌 최고 타이",2022-01-08,SKN,
176.0,"윤성빈, 월드컵 7차 대회서 6위 [스켈레톤]",2022-01-08,SKN,
177.0,"'아이언맨' 윤성빈, 월드컵 7차 대회 6위…시즌 최고 성적",2022-01-08,SKN,
178.0,"윤성빈, 월드컵 7차서 시즌 최고 6위…정승기 11위",2022-01-08,SKN,
179.0,"윤성빈, 월드컵 7차서 시즌 최고 6위…정승기 11위",2022-01-08,SKN,
180.0,"'아이언맨' 윤성빈, 월드컵 7차 대회서 시즌 최고 성적 6위",2022-01-08,SKN,
181.0,"윤성빈, 월드컵 7차서 시즌 최고 6위…정승기 11위",2022-01-08,SKN,
182.0,"윤성빈, IBSF 스켈레톤 월드컵 7차 대회서 6위",2022-01-08,SKN,
183.0,"윤성빈, IBSF 스켈레톤 월드컵 7차대회 6위",2022-01-08,SKN,
184.0,Kim Min-seok looks to build on PyeongChang success in Beijing,2022-01-09,SSK,
185.0,[그래픽] 2022 베이징 동계올림픽 종목 소개 - 알파인스키,2022-01-09,ALP,
186.0,"스노보드 이상호, 월드컵 평행대회전 동메달",2022-01-09,SBD,
187.0,"‘이번엔 동메달’ 이상호, FIS 월드컵서 또 입상, 올림픽 메달 희망 모락모락",2022-01-09,SBD,
188.0,"스노보드 간판 이상호, 베이징 금메달 보인다",2022-01-09,SBD,
189.0,‘배추 보이’ 이상호 스노보드 월드컵 銅… 이젠 올림픽서!,2022-01-09,SBD,
190.0,"이상호, 스노보드 월드컵 동메달…베이징 전망 '파란불'",2022-01-09,SBD,
191.0,"'배추 보이' 이상호, 스노보드 월드컵 銅 획득…시즌 종합 1위 질주",2022-01-09,SBD,
192.0,"스노보드 이상호, 월드컵 평행대회전 동메달",2022-01-09,SBD,
193.0,"동메달 추가한 배추보이, 베이징 전망 더 밝혔다",2022-01-09,SBD,
194.0,[알고보는 베이징] ⑦ 설원을 비행하는 '인간 새'들의 경쟁 스키점프,2022-01-09,SJP,
195.0,"원윤종ㆍ김진우, 봅슬레이 7차 월드컵 7위",2022-01-09,BOB,
196.0,"유영, ‘트리플 악셀’ 앞세워 베이징행!",2022-01-09,FSK,
197.0,"'피겨' 차준환-유영, 베이징 간다…이시형-김예림도 출전권 획득",2022-01-09,FSK,
198.0,'피겨 간판' 차준환·유영의 베이징 출사표,2022-01-09,FSK,
199.0,"'완벽 4회전 점프' 차준환, 2연속 올림픽 출전",2022-01-09,FSK,
200.0,[뉴스1 PICK]차준환·유영 피겨 1위 '베이징으로 가자',2022-01-09,FSK,
201.0,"""하루 8시간 빙판서 구슬땀…모든것 보여줄게요""",2022-01-09,FSK,
202.0,유영 첫 올림픽 출전 “꿈의 무대 즐기겠다”,2022-01-09,FSK,
203.0,유영·김예림·차준환·이시형 ‘베이징 은반’ 선다,2022-01-09,FSK,
204.0,"피겨 올림픽 대표 확정‥""후회 없는 연기할래요""",2022-01-09,FSK,
205.0,피겨 차준환-유영 2차 선발전 우승 '베이징 티켓 확보' [뉴시스Pic],2022-01-09,FSK,
206.0,"화려하게 깔끔하게…유영·차준환, 베이징 향해 점프",2022-01-09,FSK,
207.0,"2회 연속 올림픽 출전 차준환 ""후회 없이 할래요""",2022-01-09,FSK,
208.0,"'女 피겨 신동에서 간판으로' 유영 ""올림픽, 꼭 실수 않을 것""[베이징올림픽]",2022-01-09,FSK,
209.0,"차준환·유영, 베이징서 마음껏 날아라",2022-01-09,FSK,
210.0,"올림픽 출전 꿈 이룬 유영 ""실감 나지 않아요""",2022-01-09,FSK,
211.0,‘4.5회전 점프’ 올림픽 3연패 도전하는 챔피언,2022-01-09,FSK,
212.0,"'생에 첫 올림픽' 피겨 유영 ""클린한 연기로 좋은 인상 남기겠다""",2022-01-09,FSK,
213.0,"피겨 차준환-유영, 2차 선발전 우승…베이징 티켓 확보(종합2보)",2022-01-09,FSK,
214.0,"[피겨 올림픽 선발전] '첫 올림픽 출전' 유영, ""완벽한 경기로 좋은 인상 남기고 싶어요.""",2022-01-09,FSK,
215.0,"베이징올림픽 꿈 이룬 '피겨 요정' 유영 ""꿈꿔온 무대""",2022-01-09,FSK,
216.0,"피겨 차준환·유영, 베이징 올림픽 출전 확정 ""더 높은 곳으로""",2022-01-09,FSK,
217.0,"'생애 첫 올림픽 출전' 유영 ""꿈꿔왔던 자리…트리플 악셀 만족"" [스경X현장]",2022-01-09,FSK,
218.0,싱가포르에서 한국 온지 10년만에… 올림픽 꿈 이룬 유영,2022-01-09,FSK,
219.0,"피겨 차준환·유영, 남녀 2차 선발전 우승‥베이징 올림픽 출전",2022-01-09,FSK,
220.0,"차준환 2회 연속 올림픽행, 이시형-유영-김예림도 첫 올림픽 기쁨",2022-01-09,FSK,
221.0,"유영·김예림, 베이징행 확정",2022-01-09,FSK,
222.0,"피겨 차준환·유영, 필살기로 2차 선발전 우승…베이징행 확정(종합2보)",2022-01-09,FSK,
223.0,"'피겨 간판' 차준환·유영, 베이징올림픽 출전권 획득",2022-01-09,FSK,
224.0,"'피겨 간판' 차준환·유영, 베이징행 확정…이시형, 김예림도 티켓 획득",2022-01-09,FSK,
225.0,"피겨 유영·김예림, 생애 첫 올림픽 출전 확정",2022-01-09,FSK,
226.0,"'포스트 김연아' 꿈꾸는 피겨 유영, 베이징행 확정[베이징올림픽]",2022-01-09,FSK,
227.0,"'피겨 요정' 유영, 생애 첫 올림픽 출전 확정…2차 선발전 우승",2022-01-09,FSK,
228.0,"피겨 차준환·유영, 2차 선발전 우승…동반 베이징행 확정(종합)",2022-01-09,FSK,
229.0,‘역시 차준환’ 2회 연속 올림픽 무대 밟는다,2022-01-09,FSK,
230.0,"'한국 피겨 간판' 차준환-유영, 이변없이 베이징올림픽 출전권 획득",2022-01-09,FSK,
231.0,차준환 이어 ‘여자 피겨 간판’ 유영도 베이징행 확정,2022-01-09,FSK,
232.0,"피겨 차준환-유영, 2차 선발전 우승…베이징 티켓 확보(종합)",2022-01-09,FSK,
233.0,"'피겨 요정' 유영, 생애 첫 올림픽 출전 확정…2차 선발전 우승",2022-01-09,FSK,
234.0,[피겨 올림픽 선발전] 남녀싱글 간판 차준환-유영 선발전 우승하며 베이징행(종합),2022-01-09,FSK,
235.0,"피겨 차준환, 2회 연속 올림픽 무대 선다",2022-01-09,FSK,
236.0,"‘베이징행 티켓 획득’ 차준환 “1차 때는 50점, 2차 때는 80점”",2022-01-09,FSK,
237.0,"피겨 간판 차준환, 2차 선발전 우승…2회 연속 올림픽 출전",2022-01-09,FSK,
238.0,"'2차 선발전 우승' 차준환, 2회 연속 올림픽 출전",2022-01-09,FSK,
239.0,"'함박웃음' 차준환 ""평창 때보다 더 단단해졌다""[베이징올림픽]",2022-01-09,FSK,
240.0,"'2회 연속 올림픽 출전' 차준환 ""후회 없는 경기를 펼치겠다""",2022-01-09,FSK,
241.0,"'남자 피겨 간판' 차준환, 2회 연속 올림픽 무대 선다...선발전 1위 등극",2022-01-09,FSK,
242.0,"'피겨 간판' 차준환, 베이징행 확정…2회 연속 올림픽 진출[베이징올림픽]",2022-01-09,FSK,
243.0,"'베이징행' 피겨 차준환 ""순위보다는 후회 없는 연기할래요""",2022-01-09,FSK,
244.0,"피겨 간판 차준환, 2차 선발전 우승…베이징올림픽 출전권 획득",2022-01-09,FSK,
245.0,"두 번째 올림픽 출전하는 차준환 ""후회 없이 할래요""",2022-01-09,FSK,
246.0,"[피겨 올림픽 선발전] '2연속 올림픽행' 차준환 ""계획한 구성 잘하면 높은 목표도 기대""",2022-01-09,FSK,
247.0,올림픽 2회 연속 출격하는 차준환 “후회없는 연기 목표” [스경X현장],2022-01-09,FSK,
248.0,"피겨 간판 차준환, 2차 선발전 우승…2회 연속 올림픽 출전(종합)",2022-01-09,FSK,
249.0,"‘韓 남자 피겨 간판’ 차준환, 베이징 간다",2022-01-09,FSK,
250.0,"'베이징 간다!' 男 피겨 차준환, 국가대표 2차 선발전 우승",2022-01-09,FSK,
251.0,"'2차 선발전 우승' 차준환, 평창 이어 베이징 올림픽 출전",2022-01-09,FSK,
252.0,"남자 피겨 차준환, 2차 선발전 우승…베이징올림픽행",2022-01-09,FSK,
253.0,"한국 피겨 간판 차준환, 베이징행 확정…2회 연속 올림픽 출전",2022-01-09,FSK,
254.0,"피겨 간판 차준환, 2회 연속 올림픽 진출…2차 선발전 우승",2022-01-09,FSK,
255.0,"아역배우서 피겨 간판으로…차준환, 첫 올림픽 톱10 기록 쓸까",2022-01-09,FSK,
256.0,"피겨 간판 차준환, 2차 선발전 우승…베이징올림픽 출전권 획득",2022-01-09,FSK,
257.0,"[피겨 올림픽 선발전] '4회전 점프 축포' 차준환, 베이징행…2연속 올림픽 출전",2022-01-09,FSK,
